channel_id,channel_name,subscriber_count,creator_tier,total_videos,shorts_count_sample,avg_views,median_views,std_views,max_views,avg_like_rate,avg_duration_sec,pct_vertical,pct_has_music,avg_title_length,avg_hook_count,avg_emoji_count,pct_has_hashtag,viral_video_rate,views_per_subscriber,consistency_score
UCMW5RXvtRCXaprfZFWWi5BQ,Amanat cuber,22400,micro,30,30,257386.67,12500.0,1307807.67,7300000,0.0,0.0,0.0,0.0,63.07,1.8,0.0333,0.9667,0.0333,11.4905,0.1644
UCp7b81TySjRgj4IVNDlvUcQ,Cubing Planet,106000,mid,30,30,23146.67,10500.0,32680.64,168000,0.0,0.0,0.0,0.0,45.57,0.6,1.3333,0.9333,0.0,0.2184,0.4146
UCjhf1EvT2GaJwPDNFVrFhRA,Opulent Vision,146000,mid,30,30,13550.0,7200.0,22679.05,129000,0.0,0.0,0.0,0.0,39.37,0.1,0.9,0.6667,0.0,0.0928,0.374
UC8dub3tJKg2N_Ze_y8FsC2w,MCG Cubing,683,nano,30,30,2622.97,1300.0,3196.14,10000,0.0,0.0,0.0,0.0,52.23,0.2,0.1,0.7333,0.0,3.8404,0.4508
UC1MYaNA50Jbea-XBVM-2C7Q,SK Chauhan__07,70000,micro,30,30,12026.67,10000.0,8701.8,30000,0.0,0.0,0.0,0.0,61.7,2.5,1.2,1.0,0.0,0.1718,0.5802
UCUFTjn9xuabmDbgzd7cYNMA,JITHIN BRO,772000,mid,30,30,947000.0,711000.0,752874.76,2900000,0.0,0.0,0.0,0.0,82.07,1.1,1.1333,1.0,0.3667,1.2267,0.5571
UCBbeXVY55K5estTHrKWJ5Yg,Tech FC Shorts,8340000,macro,30,30,2986066.67,678000.0,9391127.24,53000000,0.0,0.0,0.0,0.0,39.83,0.1,0.4333,0.9667,0.4,0.358,0.2413
UCMORswfg1RzcE9gxK1-aMgg,Viralcubetricks,38800,micro,30,30,210190.0,20000.0,679618.66,3200000,0.0,0.0,0.0,0.0,88.3,1.0333,0.0667,1.0,0.0667,5.4173,0.2362
UCiR8xbs9WWuJzN_qYZLRhEg,DR. CUBER,16300,micro,30,30,5427.6,3750.0,5505.21,28000,0.0,0.0,0.0,0.0,44.93,0.7333,1.2,0.2333,0.0,0.333,0.4965
UC8QaHaSt_yV909cTFnJdGXA,Rubik's,439000,mid,30,30,3120.0,2850.0,1430.48,6900,0.0,0.0,0.0,0.0,77.9,0.1,0.6333,0.8,0.0,0.0071,0.6856
UCgPeJSMnI75Px4p5sZeIOcg,The Fact,7620000,macro,30,30,1936900.0,994000.0,2409051.02,10000000,0.0,0.0,0.0,0.0,28.7,0.0333,0.8,0.0,0.5,0.2542,0.4457
UCfZGUwLPuHca5ZO_crTUOlA,TheCubicle,373000,mid,30,30,173713.33,49500.0,309600.08,1500000,0.0,0.0,0.0,0.0,34.63,0.0667,0.0,0.0,0.0333,0.4657,0.3594
UCBOEOzdln6fbGfAuCs9hyNw,Rubik’s cube BD,9770,nano,30,30,6155.73,5050.0,6529.43,33000,0.0,0.0,0.0,0.0,40.0,0.5667,0.0,0.7333,0.0,0.6301,0.4853
UCMaWlDs0RTlNv1LH7oINXJQ,MRCUBESKING27 ,29900,micro,30,30,19306.67,8750.0,36746.84,209000,0.0,0.0,0.0,0.0,51.0,0.4333,0.6,1.0,0.0,0.6457,0.3444
UCdJzZtKDYO0XGwrPv-LmSGA,Rubik's Training,148000,mid,30,30,38150.0,14500.0,99664.07,571000,0.0,0.0,0.0,0.0,66.03,0.4333,0.0,0.6,0.0,0.2578,0.2768
UCQ63VK9eSLgiDpMpYN9zyew,Film Wrap,1770000,macro,30,30,29073.33,12000.0,89776.7,512000,0.0,0.0,0.0,0.0,61.57,0.8,0.9,0.7333,0.0,0.0164,0.2446
